job_title,company_name,location,salary,job_url,source_site,search_keyword,organization_type,gtelp_relevance,collection_date,collection_time
"유연근무제 시행중스크랩[시원스쿨] 실용 영어 컨텐츠 기획자 채용㈜에스제이더블유인터내셔널서울 영등포구학원·어학원·교육원, 웹기획, 교재개발·교수설계즉시 지원경력무관•경조사 지원,유연근무,패밀리데이,육아수당,연차제도,반차제도,출산휴가,웰컴키트09/18(목) 등록•내일마감",시원스쿨,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47722880?Oem_Code=C1&logpath=1&stext=%EC%A7%80%ED%85%94%ED%94%84&listno=9&sc=630,잡코리아,지텔프,IT_Tech,Medium,2025-10-21,15:26:31
"탄탄한 중견기업스크랩[YBMJIS] 한국국제학교 Business Staff 모집한국국제학교제주 서귀포시학교(초·중·고·대학·특수), 총무즉시 지원경력무관•경조사 지원,명절선물/명절상여 지원,음료/간식 지원,점심 식사 지원,기숙사 지원10/13(월) 등록•12/12(금)",YBMJIS,제주,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47831646?Oem_Code=C1&logpath=1&stext=Business+English&listno=8&sc=630,잡코리아,Business English,University,Low,2025-10-21,15:26:34
"스크랩[말레이시아] 트레이딩 소프트웨어 해외영업(영어 능통자)Manpower business solution아시아·중동 말레이시아서치펌·헤드헌팅, 해외영업, 금융영업연봉 3,900~8,000만원즉시 지원경력1년↑•숙소 지원,연차제도09/30(화) 등록•11/28(금) ",말레이시아,전국,"8,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47786442?Oem_Code=C1&logpath=1&stext=Business+English&listno=13&sc=630,잡코리아,Business English,Financial,Medium,2025-10-21,15:26:34
"신입 지원 가능스크랩[동국제약] 신입/경력 채용(헬스케어/글로벌/개발/디자인/교육/마케팅 등)동국제약㈜서울 강남구 외 14제약·보건·바이오, 웹기획, 마케팅기획, 브랜드마케터홈페이지 지원신입·경력•경조사 지원,음료/간식 지원,점심 식사 지원,우수사원 포상제도,복지포인트",동국제약,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47882978?Oem_Code=C1&logpath=1&stext=%EC%8B%A4%EB%AC%B4%EC%98%81%EC%96%B4&listno=3&sc=630,잡코리아,실무영어,Financial,Low,2025-10-21,15:26:37
"스크랩2025年 UNI 무역팀 경력(가공식품 수입/영어) 공채㈜유앤아이트레이드경기 광명시백화점·유통·도소매, 무역사무원즉시 지원경력09/04(목) 등록•11/03(월) 마감",유앤아이트레이드경기 광명시백화점,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47635973?Oem_Code=C1&logpath=1&stext=%EC%8B%A4%EB%AC%B4%EC%98%81%EC%96%B4&listno=11&sc=630,잡코리아,실무영어,Trading,Medium-High,2025-10-21,15:26:37
"신입 지원 가능스크랩영어 (의료통역 및 병원마케팅) 실무업무㈜닥터뷰서울 서초구광고·홍보·전시, 마케팅기획, 병원코디네이터, 통번역사즉시 지원신입·경력09/23(화) 등록•10/23(목) 마감",닥터뷰서울 서초구광고,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47750861?Oem_Code=C1&logpath=1&stext=%EC%8B%A4%EB%AC%B4%EC%98%81%EC%96%B4&listno=15&sc=630,잡코리아,실무영어,Service,Medium,2025-10-21,15:26:37
"스크랩호텔마케팅 홍보담당자 및 프런트담당자 (해외근무, 비즈니스영어)㈜크레이블코리아서울 강남구광고·홍보·전시, 홍보, 호텔종사자즉시 지원경력09/22(월) 등록•내일마감",크레이블코리아서울 강남구광고,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47742672?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=1&sc=630,잡코리아,비즈니스영어,Service,High,2025-10-21,15:26:41
"스크랩[LINGORA] 비즈니스 영어 기업체 출강 강사 채용㈜마켓디자이너스서울 강남구학습지·방문교육, 학원강사, 외국어강사홈페이지 지원경력2년↑09/01(월) 등록•10/31(금) 마감",LINGORA,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47607851?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=2&sc=630,잡코리아,비즈니스영어,Others,Medium,2025-10-21,15:26:41
"스크랩브랜드 마케팅 직원 모집 (영어 비즈니스 회화수준 요구)해홍㈜서울 강동구무역·상사, 경영·비즈니스기획, 마케팅기획, 브랜드마케터연봉 3,500~4,500만원즉시 지원경력1년↑09/10(수) 등록•상시채용",서울 강동구무역,서울,"4,500만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47677299?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=3&sc=630,잡코리아,비즈니스영어,Trading,Medium-High,2025-10-21,15:26:41
"스크랩마케팅 담당자 정규직 모집 (영어 비즈니스 회화수준 요구)해홍㈜서울 강동구무역·상사, 온라인마케터, 홍보연봉 3,500~4,500만원즉시 지원경력1년↑09/05(금) 등록•상시채용",서울 강동구무역,서울,"4,500만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47645194?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=4&sc=630,잡코리아,비즈니스영어,Trading,Medium-High,2025-10-21,15:26:41
"스크랩HR 인사 채용 (영어 비즈니스 회화수준 요구)해홍㈜서울 강동구무역·상사, 인사담당자, 헤드헌터연봉 3,500~4,000만원즉시 지원경력1년↑09/05(금) 등록•상시채용",서울 강동구무역,서울,"4,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47645306?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=5&sc=630,잡코리아,비즈니스영어,Trading,Medium-High,2025-10-21,15:26:41
"스크랩(주)오라컴 Drone 생산관리 채용(영어가능자)㈜오라컴경기 평택시전기·전자·제어, 해외영업, 영업관리, 영업지원즉시 지원경력무관10/13(월) 등록•11/12(수) 마감",오라컴경기 평택시전기,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47840974?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=9&sc=630,잡코리아,비즈니스영어,Trading,Medium,2025-10-21,15:26:41
"스크랩영어 커뮤니케이션 및 번역, 블록체인 프로젝트 인큐베이션 및 운영㈜샤크테일대전 유성구광고·홍보·전시, 해외영업연봉 2,550만원~즉시 지원경력무관08/25(월) 등록•상시채용",샤크테일대전 유성구광고,대전,"연봉 2,550만원",https://www.jobkorea.co.kr/Recruit/GI_Read/47567242?Oem_Code=C1&logpath=1&stext=%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4%EC%98%81%EC%96%B4&listno=11&sc=630,잡코리아,비즈니스영어,Trading,Medium,2025-10-21,15:26:41
